"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.926392251815981	11	13	"Sleep"	"Yes"	0.1
2	0.85348506401138	12	13	"Sleep"	"Yes"	0.1
3	0.913306451612903	11	13	"Sleep"	"Yes"	0.1
4	0.880952380952381	12	13	"Sleep"	"Yes"	0.1
5	0.923913043478261	11	13	"Sleep"	"Yes"	0.1
6	0.857358870967742	11	13	"Sleep"	"Yes"	0.1
7	0.860507246376812	11	13	"Sleep"	"Yes"	0.1
8	0.934722222222222	13	13	"Sleep"	"Yes"	0.1
9	0.891854578923148	11	13	"Sleep"	"Yes"	0.1
10	0.81992337164751	10	13	"Sleep"	"Yes"	0.1
11	0.904249871991808	13	13	"Sleep"	"Yes"	0.1
12	0.887820512820513	11	13	"Sleep"	"Yes"	0.1
13	0.881552419354839	12	13	"Sleep"	"Yes"	0.1
14	0.880040322580645	11	13	"Sleep"	"Yes"	0.1
15	0.880184331797235	12	13	"Sleep"	"Yes"	0.1
16	0.902644778841769	10	13	"Sleep"	"Yes"	0.1
17	0.872108843537415	12	13	"Sleep"	"Yes"	0.1
18	0.882016890213612	8	13	"Sleep"	"Yes"	0.1
19	0.847242921013413	10	13	"Sleep"	"Yes"	0.1
20	0.889093419236079	11	13	"Sleep"	"Yes"	0.1
21	0.891455538996523	12	13	"Sleep"	"Yes"	0.1
22	0.903978779840849	13	13	"Sleep"	"Yes"	0.1
23	0.828703703703704	9	13	"Sleep"	"Yes"	0.1
24	0.906810860561436	12	13	"Sleep"	"Yes"	0.1
25	0.88921568627451	12	13	"Sleep"	"Yes"	0.1
26	0.894664842681259	13	13	"Sleep"	"Yes"	0.1
27	0.847727272727273	12	13	"Sleep"	"Yes"	0.1
28	0.783219954648526	11	13	"Sleep"	"Yes"	0.1
29	0.859410952600092	13	13	"Sleep"	"Yes"	0.1
30	0.936995967741935	13	13	"Sleep"	"Yes"	0.1
1	0.79656862745098	13	14	"Sleep"	"Yes"	0.1
2	0.879659456971928	11	14	"Sleep"	"Yes"	0.1
3	0.928113553113553	12	14	"Sleep"	"Yes"	0.1
4	0.89852738150023	10	14	"Sleep"	"Yes"	0.1
5	0.937962962962963	11	14	"Sleep"	"Yes"	0.1
6	0.918956043956044	12	14	"Sleep"	"Yes"	0.1
7	0.888572783309625	13	14	"Sleep"	"Yes"	0.1
8	0.848072562358277	10	14	"Sleep"	"Yes"	0.1
9	0.865576102418208	12	14	"Sleep"	"Yes"	0.1
10	0.819347319347319	12	14	"Sleep"	"Yes"	0.1
11	0.876668200644271	13	14	"Sleep"	"Yes"	0.1
12	0.890213611525087	12	14	"Sleep"	"Yes"	0.1
13	0.90453514739229	11	14	"Sleep"	"Yes"	0.1
14	0.937530266343826	11	14	"Sleep"	"Yes"	0.1
15	0.883258817685047	11	14	"Sleep"	"Yes"	0.1
16	0.866998577524893	9	14	"Sleep"	"Yes"	0.1
17	0.897435897435897	14	14	"Sleep"	"Yes"	0.1
18	0.876304023845007	10	14	"Sleep"	"Yes"	0.1
19	0.899425287356322	11	14	"Sleep"	"Yes"	0.1
20	0.861590038314176	10	14	"Sleep"	"Yes"	0.1
21	0.93796992481203	12	14	"Sleep"	"Yes"	0.1
22	0.886713286713287	11	14	"Sleep"	"Yes"	0.1
23	0.869791666666667	9	14	"Sleep"	"Yes"	0.1
24	0.879591836734694	11	14	"Sleep"	"Yes"	0.1
25	0.897732426303855	13	14	"Sleep"	"Yes"	0.1
26	0.924812030075188	11	14	"Sleep"	"Yes"	0.1
27	0.893796992481203	14	14	"Sleep"	"Yes"	0.1
28	0.873168498168498	11	14	"Sleep"	"Yes"	0.1
29	0.868589743589744	11	14	"Sleep"	"Yes"	0.1
30	0.831766917293233	11	14	"Sleep"	"Yes"	0.1
1	0.896145124716553	12	15	"Sleep"	"Yes"	0.1
2	0.866300366300366	11	15	"Sleep"	"Yes"	0.1
3	0.893314366998578	11	15	"Sleep"	"Yes"	0.1
4	0.924371740161214	10	15	"Sleep"	"Yes"	0.1
5	0.829728485964105	12	15	"Sleep"	"Yes"	0.1
6	0.882016890213612	12	15	"Sleep"	"Yes"	0.1
7	0.908624708624709	10	15	"Sleep"	"Yes"	0.1
8	0.948636363636364	13	15	"Sleep"	"Yes"	0.1
9	0.933424532603739	12	15	"Sleep"	"Yes"	0.1
10	0.904693486590038	14	15	"Sleep"	"Yes"	0.1
11	0.85632183908046	11	15	"Sleep"	"Yes"	0.1
12	0.897344713134187	12	15	"Sleep"	"Yes"	0.1
13	0.887861545756283	10	15	"Sleep"	"Yes"	0.1
14	0.913483663138518	15	15	"Sleep"	"Yes"	0.1
15	0.914545454545455	10	15	"Sleep"	"Yes"	0.1
16	0.932056543547652	12	15	"Sleep"	"Yes"	0.1
17	0.861702127659574	10	15	"Sleep"	"Yes"	0.1
18	0.935704514363885	12	15	"Sleep"	"Yes"	0.1
19	0.916203703703704	13	15	"Sleep"	"Yes"	0.1
20	0.892399267399267	11	15	"Sleep"	"Yes"	0.1
21	0.876470588235294	13	15	"Sleep"	"Yes"	0.1
22	0.859722222222222	11	15	"Sleep"	"Yes"	0.1
