"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
6	0.925330383982758	15	15	"Churn"	"Yes"	0
7	0.849542171063229	15	15	"Churn"	"Yes"	0
8	0.914190369261477	15	15	"Churn"	"Yes"	0
9	0.896667635249366	15	15	"Churn"	"Yes"	0
10	0.925162626013104	15	15	"Churn"	"Yes"	0
11	0.927863564310339	15	15	"Churn"	"Yes"	0
12	0.917442225243125	15	15	"Churn"	"Yes"	0
13	0.870096608574458	15	15	"Churn"	"Yes"	0
14	0.896845616107911	15	15	"Churn"	"Yes"	0
15	0.90150942155283	15	15	"Churn"	"Yes"	0
16	0.872586037364798	15	15	"Churn"	"Yes"	0
17	0.913099481243604	15	15	"Churn"	"Yes"	0
18	0.904896387309738	15	15	"Churn"	"Yes"	0
19	0.91678055915216	15	15	"Churn"	"Yes"	0
20	0.9343625249501	15	15	"Churn"	"Yes"	0
21	0.889043081764903	15	15	"Churn"	"Yes"	0
22	0.931010558069382	15	15	"Churn"	"Yes"	0
23	0.921019406125789	15	15	"Churn"	"Yes"	0
24	0.903136858082469	15	15	"Churn"	"Yes"	0
25	0.887995530509133	14	15	"Churn"	"Yes"	0
26	0.913165266106443	15	15	"Churn"	"Yes"	0
27	0.892835393359798	14	15	"Churn"	"Yes"	0
28	0.907121905025868	15	15	"Churn"	"Yes"	0
29	0.889636184857424	15	15	"Churn"	"Yes"	0
30	0.868815758709376	15	15	"Churn"	"Yes"	0
1	0.87562417494117	16	16	"Churn"	"Yes"	0
2	0.923867584398558	16	16	"Churn"	"Yes"	0
3	0.893783522377561	16	16	"Churn"	"Yes"	0
4	0.904613597972973	16	16	"Churn"	"Yes"	0
5	0.912446455505279	16	16	"Churn"	"Yes"	0
6	0.909782263471786	16	16	"Churn"	"Yes"	0
7	0.890481912471541	16	16	"Churn"	"Yes"	0
8	0.884327651515151	14	16	"Churn"	"Yes"	0
9	0.935004916420846	16	16	"Churn"	"Yes"	0
10	0.880663672654691	16	16	"Churn"	"Yes"	0
11	0.904643667349084	16	16	"Churn"	"Yes"	0
12	0.873038941236733	15	16	"Churn"	"Yes"	0
13	0.919898200757576	16	16	"Churn"	"Yes"	0
14	0.894486027944112	15	16	"Churn"	"Yes"	0
15	0.874242424242424	16	16	"Churn"	"Yes"	0
16	0.912562306110356	16	16	"Churn"	"Yes"	0
17	0.904552778951817	16	16	"Churn"	"Yes"	0
18	0.867086348643726	14	16	"Churn"	"Yes"	0
19	0.912852986286539	16	16	"Churn"	"Yes"	0
20	0.902267146557234	16	16	"Churn"	"Yes"	0
21	0.924405514798887	16	16	"Churn"	"Yes"	0
22	0.933349801790357	14	16	"Churn"	"Yes"	0
23	0.872014925373134	15	16	"Churn"	"Yes"	0
24	0.911007945306726	16	16	"Churn"	"Yes"	0
25	0.903606499883096	16	16	"Churn"	"Yes"	0
26	0.915778061399536	15	16	"Churn"	"Yes"	0
27	0.909246142170503	16	16	"Churn"	"Yes"	0
28	0.956763860871691	16	16	"Churn"	"Yes"	0
29	0.916276041666667	16	16	"Churn"	"Yes"	0
30	0.898671964864582	16	16	"Churn"	"Yes"	0
1	0.921453996983409	16	17	"Churn"	"Yes"	0
2	0.917162602020987	17	17	"Churn"	"Yes"	0
3	0.894396445625954	17	17	"Churn"	"Yes"	0
4	0.938141917530989	15	17	"Churn"	"Yes"	0
5	0.917509013438217	17	17	"Churn"	"Yes"	0
6	0.901207260346233	17	17	"Churn"	"Yes"	0
7	0.898349354920314	16	17	"Churn"	"Yes"	0
8	0.921289355322339	16	17	"Churn"	"Yes"	0
