"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"SUBSAMPLED"	"propNA"
23	0.939839572192513	12	12	"Sleep"	"Yes"	0
24	0.861184210526316	10	12	"Sleep"	"Yes"	0
25	0.961842105263158	10	12	"Sleep"	"Yes"	0
26	0.962096242584047	11	12	"Sleep"	"Yes"	0
27	0.904318936877076	10	12	"Sleep"	"Yes"	0
28	0.946428571428571	11	12	"Sleep"	"Yes"	0
29	0.91328903654485	11	12	"Sleep"	"Yes"	0
30	0.89293067947838	9	12	"Sleep"	"Yes"	0
1	0.922368421052632	11	13	"Sleep"	"Yes"	0
2	0.948412698412698	12	13	"Sleep"	"Yes"	0
3	0.923026315789474	11	13	"Sleep"	"Yes"	0
4	0.899003322259136	10	13	"Sleep"	"Yes"	0
5	0.858974358974359	12	13	"Sleep"	"Yes"	0
6	0.895847066578774	11	13	"Sleep"	"Yes"	0
7	0.897435897435897	12	13	"Sleep"	"Yes"	0
8	0.931229235880399	11	13	"Sleep"	"Yes"	0
9	0.867063492063492	10	13	"Sleep"	"Yes"	0
10	0.925510876730389	10	13	"Sleep"	"Yes"	0
11	0.910526315789474	13	13	"Sleep"	"Yes"	0
12	0.871031746031746	10	13	"Sleep"	"Yes"	0
13	0.909210526315789	11	13	"Sleep"	"Yes"	0
14	0.884970336189848	10	13	"Sleep"	"Yes"	0
15	0.949342105263158	12	13	"Sleep"	"Yes"	0
16	0.85514950166113	11	13	"Sleep"	"Yes"	0
17	0.960526315789474	12	13	"Sleep"	"Yes"	0
18	0.921710526315789	12	13	"Sleep"	"Yes"	0
19	0.887700534759358	10	13	"Sleep"	"Yes"	0
20	0.871794871794872	13	13	"Sleep"	"Yes"	0
21	0.945514950166113	13	13	"Sleep"	"Yes"	0
22	0.936497326203209	9	13	"Sleep"	"Yes"	0
23	0.908730158730159	10	13	"Sleep"	"Yes"	0
24	0.933887043189369	12	13	"Sleep"	"Yes"	0
25	0.914141414141414	11	13	"Sleep"	"Yes"	0
26	0.951766304347826	10	13	"Sleep"	"Yes"	0
27	0.909210526315789	10	13	"Sleep"	"Yes"	0
28	0.903030303030303	11	13	"Sleep"	"Yes"	0
29	0.908730158730159	11	13	"Sleep"	"Yes"	0
30	0.884920634920635	12	13	"Sleep"	"Yes"	0
1	0.907894736842105	10	14	"Sleep"	"Yes"	0
2	0.925510876730389	10	14	"Sleep"	"Yes"	0
3	0.94726433750824	10	14	"Sleep"	"Yes"	0
4	0.861461794019934	10	14	"Sleep"	"Yes"	0
5	0.881015161502966	11	14	"Sleep"	"Yes"	0
6	0.891042780748663	10	14	"Sleep"	"Yes"	0
7	0.869047619047619	12	14	"Sleep"	"Yes"	0
8	0.960777851021754	10	14	"Sleep"	"Yes"	0
9	0.927574750830565	11	14	"Sleep"	"Yes"	0
10	0.924916943521595	12	14	"Sleep"	"Yes"	0
11	0.948717948717949	12	14	"Sleep"	"Yes"	0
12	0.910714285714286	13	14	"Sleep"	"Yes"	0
13	0.930336307481126	11	14	"Sleep"	"Yes"	0
14	0.89452867501648	11	14	"Sleep"	"Yes"	0
15	0.936507936507937	10	14	"Sleep"	"Yes"	0
16	0.910526315789474	11	14	"Sleep"	"Yes"	0
17	0.945945945945946	11	14	"Sleep"	"Yes"	0
18	0.921791443850267	12	14	"Sleep"	"Yes"	0
19	0.899064171122995	10	14	"Sleep"	"Yes"	0
20	0.898809523809524	10	14	"Sleep"	"Yes"	0
21	0.898026315789474	10	14	"Sleep"	"Yes"	0
22	0.856624917600527	12	14	"Sleep"	"Yes"	0
23	0.893210283454186	10	14	"Sleep"	"Yes"	0
24	0.933750823994726	10	14	"Sleep"	"Yes"	0
25	0.887375415282392	10	14	"Sleep"	"Yes"	0
26	0.91025641025641	9	14	"Sleep"	"Yes"	0
27	0.91875	12	14	"Sleep"	"Yes"	0
28	0.872775214238629	10	14	"Sleep"	"Yes"	0
29	0.884615384615385	10	14	"Sleep"	"Yes"	0
30	0.899802241265656	11	14	"Sleep"	"Yes"	0
1	0.897165458141068	10	15	"Sleep"	"Yes"	0
2	0.948582729070534	9	15	"Sleep"	"Yes"	0
3	0.972222222222222	11	15	"Sleep"	"Yes"	0
4	0.821052631578947	10	15	"Sleep"	"Yes"	0
5	0.924916943521595	8	15	"Sleep"	"Yes"	0
6	0.922368421052632	10	15	"Sleep"	"Yes"	0
7	0.896052631578947	12	15	"Sleep"	"Yes"	0
8	0.908730158730159	11	15	"Sleep"	"Yes"	0
9	0.962096242584047	11	15	"Sleep"	"Yes"	0
10	0.884358288770054	9	15	"Sleep"	"Yes"	0
11	0.948717948717949	11	15	"Sleep"	"Yes"	0
12	0.951766304347826	11	15	"Sleep"	"Yes"	0
13	0.897435897435897	11	15	"Sleep"	"Yes"	0
14	0.88903743315508	11	15	"Sleep"	"Yes"	0
15	0.871710526315789	12	15	"Sleep"	"Yes"	0
16	0.933887043189369	12	15	"Sleep"	"Yes"	0
17	0.90112063282795	11	15	"Sleep"	"Yes"	0
18	0.948026315789474	12	15	"Sleep"	"Yes"	0
19	0.861413043478261	9	15	"Sleep"	"Yes"	0
20	0.896345514950166	11	15	"Sleep"	"Yes"	0
21	0.860580092287409	10	15	"Sleep"	"Yes"	0
22	0.910526315789474	11	15	"Sleep"	"Yes"	0
23	0.908730158730159	11	15	"Sleep"	"Yes"	0
24	0.943181818181818	12	15	"Sleep"	"Yes"	0
25	0.923076923076923	10	15	"Sleep"	"Yes"	0
26	0.927574750830565	11	15	"Sleep"	"Yes"	0
27	0.924603174603175	12	15	"Sleep"	"Yes"	0
28	0.883552631578947	12	15	"Sleep"	"Yes"	0
29	0.922259136212625	13	15	"Sleep"	"Yes"	0
30	0.932323232323232	11	15	"Sleep"	"Yes"	0
1	0.948582729070534	10	16	"Sleep"	"Yes"	0
2	0.923076923076923	13	16	"Sleep"	"Yes"	0
3	0.867527173913043	11	16	"Sleep"	"Yes"	0
4	0.922368421052632	10	16	"Sleep"	"Yes"	0
5	0.886184210526316	11	16	"Sleep"	"Yes"	0
6	0.924192485168095	12	16	"Sleep"	"Yes"	0
7	0.910526315789474	13	16	"Sleep"	"Yes"	0
8	0.904292751583392	14	16	"Sleep"	"Yes"	0
9	0.907085561497326	12	16	"Sleep"	"Yes"	0
10	0.919601328903655	11	16	"Sleep"	"Yes"	0
11	0.922259136212625	11	16	"Sleep"	"Yes"	0
12	0.890033222591362	11	16	"Sleep"	"Yes"	0
13	0.881015161502966	10	16	"Sleep"	"Yes"	0
14	0.898026315789474	10	16	"Sleep"	"Yes"	0
15	0.936507936507937	10	16	"Sleep"	"Yes"	0
16	0.912698412698413	10	16	"Sleep"	"Yes"	0
17	0.909402882635552	9	16	"Sleep"	"Yes"	0
18	0.835548172757475	13	16	"Sleep"	"Yes"	0
19	0.90265780730897	11	16	"Sleep"	"Yes"	0
20	0.936507936507937	11	16	"Sleep"	"Yes"	0
21	0.962566844919786	12	16	"Sleep"	"Yes"	0
22	0.910714285714286	13	16	"Sleep"	"Yes"	0
23	0.876744186046512	11	16	"Sleep"	"Yes"	0
